au_id,title,royaltyper
213-46-8915,You Can Combat Computer Stress!,100
238-95-7766,But Is It User Friendly?,100
409-56-7008,The Busy Executive's Database Guide,60
427-17-2319,Secrets of Silicon Valley,50
486-29-1786,Net Etiquette,100
486-29-1799,Emotional Security: A New Algorithm,100
648-92-1872,Fifty Years in Buckingham Palace Kitchens,100
756-30-7391,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,75
807-91-6654,Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean,100
899-46-2035,Is Anger the Enemy?,40
